"Sectors", "Employment"
Manufacturing and Other Industry,"12,641"
Basic and Fabricated Metal Products,"26,868"
Chemicals,"1,221"
"Clothing, Footwear and Leather","22,382"
"Computer, Electronic and Optical Equipment","14,825"
"Construction, Energy, Water and Waste","3,737"
Drink and Tobacco,"5,673"
Electrical Equipment,"45,341"
Food,"11,959"
Machinery and Equipment,"27,642"
Medical and dental instruments and supplies,"8,544"
"Miscellaneous Manufacturing and Agriculture, Fishing and Forestry","6,717"
Non-Metallic Minerals,"5,115"
Paper and Printing,"7,994"
Rubber and Plastics,"1,289"
Textiles,"4,750"
Transport Equipment,"4,882"
Wood and Wood Products,"1,512"
Mining and Quarrying,"1,512"
Mining and Quarrying,"166,718"
Services,"27,729"
Business Services,"30,516"
Computer consultancy activities,"12,822"
Computer facilities management activities,"29,958"
Computer programming activities,"28,349"
Financial Services,"10,355"
Other Information and Communication,"14,624"
Other Information technology and computer service activities,"12,365"
Other Services,"379,810"
